Postal Code,Area,District,Latitude,Longitude
32120,Nawamedagama,Ampara,7.385200,81.389200
32126,Damanewela,Ampara,7.385200,81.389200
32150,Dehiattakandiya,Ampara,7.385200,81.389200
32155,Siripura,Ampara,7.385200,81.389200
32158,Mawanagama,Ampara,7.385200,81.389200
32198,Malwatta,Ampara,7.333300,81.733300
32200,Samanthurai,Ampara,7.383300,81.833300
32250,Karativu,Ampara,7.383300,81.833300
32280,Sainthamaruthu,Ampara,7.383300,81.833300
32300,Kalmunai,Ampara,7.409000,81.834700
32308,Navithanveli,Ampara,7.433300,81.783300
32314,Marathamune,Ampara,7.450000,81.816700
32316,Periyaneelavanai,Ampara,7.450000,81.816700
32340,Nintavur,Ampara,7.349800,81.853000
32350,Addalaichenai,Ampara,7.266700,81.850000
32354,Palamunai,Ampara,7.266700,81.850000
32360,Oluvil,Ampara,7.283300,81.850000
32400,Akkaraipattu,Ampara,7.216500,81.853800
32405,Kannakipuram,Ampara,7.216500,81.853800
32415,Thambiluvil,Ampara,7.132600,81.851400
32418,Komari,Ampara,6.989700,81.862100
32420,Tirukovil,Ampara,7.120300,81.849000
32450,lmkkamam,Ampara,7.114800,81.854100
32454,Wanagamuwa,Ampara,7.114800,81.854100
32500,Pottuvil,Ampara,6.876200,81.826700
32508,Panama,Ampara,6.755200,81.803600
32512,Lahugala,Ampara,6.914000,81.663900
32514,Hulannuge,Ampara,6.914000,81.663900
40000,Jaffna,Jaffna,9.668400,80.007400
41000,Mannar,Mannar,8.983300,79.900000
43000,Vavuniya,Vavuniya,8.751400,80.497100
50000,Anuradhapura,Anuradhapura,8.356500,80.417300
50004,Perimiyankulama,Anuradhapura,8.266700,80.533300
50006,Galkadawala,Anuradhapura,8.604400,80.681000
50008,Saliyapura,Anuradhapura,8.422500,81.054100
50012,Viharapalugama,Anuradhapura,8.395500,80.310300
50014,Elayapattuwa,Anuradhapura,8.395500,80.310300
